"","COMPNOS","NatureCode","INCIDENT_TYPE_DESCRIPTION","MAIN_CRIMECODE","REPTDISTRICT","REPORTINGAREA","FROMDATE","WEAPONTYPE","Shooting","DOMESTIC","SHIFT","Year","Month","DAY_WEEK","UCRPART","X","Y","STREETNAME","XSTREETNAME","Location"
"1",142007291,"BE","RESIDENTIAL BURGLARY","05RB","C11",0,"07/08/2014 07:45:00 AM","Other","No","No","Day",2014,7,"Tuesday","Part One",776548.39040236,2927838.51662777,"GRANITE AV","","(42.28127636, -71.05514456)"
"2",142007199,"BE","RESIDENTIAL BURGLARY","05RB","D14",0,"06/10/2014 07:00:00 AM","Unarmed","No","No","Last",2014,6,"Tuesday","Part One",754544.02955552,2952832.00994778,"LONG AV","","(42.35014601, -71.13606372)"
"3",142007083,"BE","RESIDENTIAL BURGLARY","05RB","D14",0,"06/29/2014 04:30:00 AM","Other","No","No","Last",2014,6,"Sunday","Part One",754804.88270835,2951517.6674321,"BRAINERD RD","","(42.34653635, -71.13511954)"
"4",142007060,"BE","RESIDENTIAL BURGLARY","05RB","D4",0,"07/07/2014 08:05:00 AM","Unarmed","No","No","Day",2014,7,"Monday","Part One",771145.25816401,2948052.30854918,"WORCESTER SQ","","(42.3368196, -71.0747384)"
"5",142007035,"BE","RESIDENTIAL BURGLARY","05RB","B3",0,"07/07/2014 08:00:00 AM","Unarmed","No","No","Day",2014,7,"Monday","Part One",771289.12270569,2934205.25947168,"HARVARD PARK","","(42.29882071, -71.07446182)"
"6",142007011,"BE","RESIDENTIAL BURGLARY","05RB","B2",0,"07/07/2014 07:30:00 AM","Unarmed","No","No","Day",2014,7,"Monday","Part One",768822.39043444,2946120.95447227,"RUGGLES ST","","(42.33155135, -71.08336455)"
"7",142006971,"BE","RESIDENTIAL BURGLARY","05RB","A7",0,"07/03/2014 04:00:00 PM","Other","No","No","First",2014,7,"Thursday","Part One",782815.04486377,2962940.8985226,"PUTNAM ST","","(42.37750634, -71.03127457)"
"8",142006939,"BE","RESIDENTIAL BURGLARY","05RB","A7",0,"07/07/2014 02:30:00 PM","Other","No","No","Day",2014,7,"Monday","Part One",782466.4681331,2960231.26483427,"COTTAGE ST","","(42.37007634, -71.03261957)"
"9",142006931,"BE","RESIDENTIAL BURGLARY","05RB","E5",0,"06/26/2014 10:30:00 AM","Other","No","No","Day",2014,6,"Thursday","Part One",753248.18569052,2927635.82871294,"BEECH ST","","(42.28102136, -71.14124954)"
"10",142006825,"BE","RESIDENTIAL BURGLARY","05RB","A15",0,"07/06/2014 07:30:00 PM","Other","No","No","First",2014,7,"Sunday","Part One",772230.16117794,2964494.12343451,"BALDWIN ST","","(42.38192134, -71.07041956)"
"11",142006722,"BE","RESIDENTIAL BURGLARY","05RB","D4",0,"07/03/2014 04:00:00 PM","Unarmed","No","No","First",2014,7,"Thursday","Part One",767467.96335327,2950267.02295177,"SYMPHONY RD","","(42.34294635, -71.08829955)"
"12",142006692,"BE","RESIDENTIAL BURGLARY","05RB","D14",0,"07/05/2014 12:00:00 PM","Unarmed","No","No","Day",2014,7,"Saturday","Part One",748040.39361269,2949405.09849451,"GERALD RD","","(42.34081605, -71.16017346)"
"13",142006674,"BE","RESIDENTIAL BURGLARY","05RB","C11",0,"07/06/2014 07:38:00 PM","Other","No","No","First",2014,7,"Sunday","Part One",775974.27475269,2939642.87753344,"DORCHESTER AV","","(42.31367635, -71.05703956)"
"14",142006637,"BE","RESIDENTIAL BURGLARY","05RB","C6",0,"07/05/2014 10:00:00 PM","Unarmed","No","No","First",2014,7,"Saturday","Part One",775642.94864368,2943819.30421993,"HOWELL ST","","(42.32514135, -71.05818456)"
"15",142006569,"BE","RESIDENTIAL BURGLARY","05RB","D14",0,"07/05/2014 12:00:00 PM","Other","No","No","Day",2014,7,"Saturday","Part One",753651.83284911,2950896.88291252,"SUMMIT AV","","(42.34484635, -71.13939453)"
"16",142006529,"BE","RESIDENTIAL BURGLARY","05RB","D4",0,"07/06/2014 09:30:00 AM","Other","No","No","Day",2014,7,"Sunday","Part One",769517.53996276,2950200.47485652,"GREENWICH PARK","","(42.34273635, -71.08071955)"
"17",142006387,"BE","RESIDENTIAL BURGLARY","05RB","B3",0,"07/01/2014 02:00:00 PM","Unarmed","No","No","Day",2014,7,"Tuesday","Part One",768807.28514969,2933526.47539619,"ESMOND ST","","(42.2969917, -71.08364777)"
